2025-10-31 09:19:43 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32004 HTTP/1.1" 200 None
2025-10-31 09:19:43 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:19:44 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32005 HTTP/1.1" 200 None
2025-10-31 09:19:44 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:19:45 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32006 HTTP/1.1" 200 None
2025-10-31 09:19:45 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:19:46 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32007 HTTP/1.1" 200 None
2025-10-31 09:19:46 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:19:46 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32008 HTTP/1.1" 200 None
2025-10-31 09:19:47 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:19:47 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32009 HTTP/1.1" 200 None
2025-10-31 09:19:47 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:19:48 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32010 HTTP/1.1" 200 None
2025-10-31 09:19:49 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:19:50 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32011 HTTP/1.1" 200 None
